name,highway,road_type,lane_count,speed_limit,capacity_vph,fhsz_zone,hazard_degradation,effective_capacity_vph,baseline_demand_vph,vc_ratio,los,connectivity_score,catchment_units,demand_source,catchment_hu,catchment_employees,resident_demand_vph,employee_demand_vph,student_demand_vph,length_meters,lane_count_estimated,speed_estimated,aadt_estimated
Virginia Street,residential,two_lane,2,25,1125.0,non_fhsz,1.0,1125.0,1029.42,0.9150400000000001,E,1,602.0,catchment_based,4435,1354,4803.105,1354.0,0.0,77.15837013015586,False,False,True
Virginia Street,residential,two_lane,2,25,1125.0,non_fhsz,1.0,1125.0,1029.42,0.9150400000000001,E,1,602.0,catchment_based,4435,1354,4803.105,1354.0,0.0,75.09499722102002,False,False,True
Curtis Street,residential,two_lane,2,25,1125.0,non_fhsz,1.0,1125.0,1026.0,0.912,E,1,600.0,catchment_based,4531,2303,4907.072999999999,2303.0,0.0,130.0236958880691,False,False,True
Curtis Street,residential,two_lane,2,25,1125.0,non_fhsz,1.0,1125.0,1026.0,0.912,E,1,600.0,catchment_based,4315,2242,4673.1449999999995,2242.0,0.0,143.42081918000537,False,False,True
Curtis Street,residential,two_lane,2,25,1125.0,non_fhsz,1.0,1125.0,1026.0,0.912,E,1,600.0,catchment_based,3978,2170,4308.174,2170.0,0.0,16.537271947069375,False,False,True
Curtis Street,residential,two_lane,2,25,1125.0,non_fhsz,1.0,1125.0,1026.0,0.912,E,1,600.0,catchment_based,4315,2242,4673.1449999999995,2242.0,0.0,12.234888758082302,False,False,True
Curtis Street,residential,two_lane,2,25,1125.0,non_fhsz,1.0,1125.0,1026.0,0.912,E,1,600.0,catchment_based,4315,2242,4673.1449999999995,2242.0,0.0,143.42081918000537,False,False,True
Allston Way,residential,two_lane,2,25,1125.0,non_fhsz,1.0,1125.0,576.27,0.51224,D,1,337.0,catchment_based,5303,2413,5743.1489999999985,2413.0,0.0,91.1305913298095,False,False,True
Allston Way,residential,two_lane,2,25,1125.0,non_fhsz,1.0,1125.0,576.27,0.51224,D,1,337.0,catchment_based,5303,2413,5743.1489999999985,2413.0,0.0,91.30877645529995,False,False,True
Page Street,residential,two_lane,2,25,1125.0,non_fhsz,1.0,1125.0,461.7,0.4104,D,1,270.0,catchment_based,2183,5971,2364.189,5971.0,0.0,94.2402294847995,False,False,True
Page Street,residential,two_lane,2,25,1125.0,non_fhsz,1.0,1125.0,461.7,0.4104,D,1,270.0,catchment_based,1718,5811,1860.5939999999998,5811.0,0.0,103.91860922674671,False,False,True
Delaware Street,residential,two_lane,1,25,1125.0,non_fhsz,1.0,1125.0,1470.6000000000001,1.3072000000000001,F,1,860.0,catchment_based,3399,14441,3681.1169999999993,14441.0,0.0,96.06353663691431,True,False,True
Hearst Avenue,residential,two_lane,2,25,1125.0,non_fhsz,1.0,1125.0,1470.6000000000001,1.3072000000000001,F,1,860.0,catchment_based,2799,14066,3031.3169999999996,14066.0,0.0,89.73650564358893,False,False,True
Addison Street,residential,two_lane,1,25,1125.0,non_fhsz,1.0,1125.0,1711.7099999999998,1.5215199999999998,F,2,1001.0,catchment_based,3422,14265,3706.0259999999994,14265.0,0.0,103.91157337226726,True,False,True
Allston Way,residential,two_lane,2,25,1125.0,non_fhsz,1.0,1125.0,576.27,0.51224,D,1,337.0,catchment_based,5907,9892,6397.280999999999,9892.0,0.0,100.86372933137235,False,False,True
Allston Way,residential,two_lane,2,25,1125.0,non_fhsz,1.0,1125.0,576.27,0.51224,D,1,337.0,catchment_based,5480,9781,5934.839999999999,9781.0,0.0,94.32355312771195,False,False,True
Page Street,residential,two_lane,2,25,1125.0,non_fhsz,1.0,1125.0,461.7,0.4104,D,1,270.0,catchment_based,3699,6421,4006.0169999999994,6421.0,0.0,100.19281298833054,False,False,True
Cragmont Avenue,residential,two_lane,1,25,1125.0,vhfhsz,0.35,393.75,993.5099999999999,0.8831199999999999,E,1,581.0,catchment_based,1506,258,1630.9979999999998,258.0,0.0,102.56925066180351,True,False,True
Sunset Lane,residential,two_lane,1,25,1125.0,vhfhsz,0.35,393.75,454.86,0.40432,D,1,266.0,catchment_based,2041,994,2210.403,994.0,0.0,49.73843641983166,True,False,True
Grizzly Peak Boulevard,tertiary,two_lane,2,25,1125.0,vhfhsz,0.35,393.75,454.86,0.40432,D,1,266.0,catchment_based,2041,994,2210.403,994.0,0.0,130.23677938900923,False,False,True
Marin Avenue,tertiary,two_lane,2,20,900.0,vhfhsz,0.35,315.0,3982.5899999999997,4.4251,F,5,2329.0,catchment_based,2041,994,2210.403,994.0,0.0,113.17661711974657,False,False,True
Marin Avenue,residential,two_lane,1,25,1125.0,vhfhsz,0.35,393.75,1106.37,0.9834399999999999,F,1,647.0,catchment_based,2041,994,2210.403,994.0,0.0,100.97781565194147,False,False,True
Grizzly Peak Boulevard,tertiary,two_lane,2,25,1125.0,vhfhsz,0.35,393.75,454.86,0.40432,D,1,266.0,catchment_based,2041,994,2210.403,994.0,0.0,63.759420464472825,False,False,True
Grizzly Peak Boulevard,tertiary,two_lane,2,25,1125.0,vhfhsz,0.35,393.75,454.86,0.40432,D,1,266.0,catchment_based,2041,994,2210.403,994.0,0.0,130.2367793890092,False,False,True
Grizzly Peak Boulevard,tertiary,two_lane,2,25,1125.0,vhfhsz,0.35,393.75,454.86,0.40432,D,1,266.0,catchment_based,2041,994,2210.403,994.0,0.0,75.49755233606297,False,False,True
Grizzly Peak Boulevard,tertiary,two_lane,2,25,1125.0,vhfhsz,0.35,393.75,454.86,0.40432,D,1,266.0,catchment_based,2041,994,2210.403,994.0,0.0,63.75942046447281,False,False,True
Grizzly Peak Boulevard,tertiary,two_lane,2,25,1125.0,vhfhsz,0.35,393.75,454.86,0.40432,D,1,266.0,catchment_based,2041,994,2210.403,994.0,0.0,75.49755233606297,False,False,True
Creston Road,residential,two_lane,2,25,1125.0,vhfhsz,0.35,393.75,1106.37,0.9834399999999999,F,1,647.0,catchment_based,1632,926,1767.4559999999997,926.0,0.0,210.96477348918754,False,False,True
Avenida Drive,residential,two_lane,2,25,1125.0,vhfhsz,0.35,393.75,748.9799999999999,0.6657599999999999,E,1,438.0,catchment_based,1031,632,1116.5729999999999,632.0,1837.8114924267159,254.40845621617132,False,False,True
Tunnel Road,primary,multilane,2,25,3800.0,non_fhsz,1.0,3800.0,444.6,0.117,B,1,260.0,catchment_based,2060,1197,2230.98,1197.0,0.0,151.56046949844244,False,False,True
Marin Avenue,tertiary,two_lane,2,20,900.0,vhfhsz,0.35,315.0,3982.5899999999997,4.4251,F,5,2329.0,catchment_based,2041,994,2210.403,994.0,0.0,89.59923945491536,False,False,True
Marin Avenue,tertiary,two_lane,2,20,900.0,vhfhsz,0.35,315.0,3982.5899999999997,4.4251,F,5,2329.0,catchment_based,2041,994,2210.403,994.0,0.0,113.17661711974657,False,False,True
University Drive,unclassified,two_lane,1,25,1125.0,non_fhsz,1.0,1125.0,54.72,0.048639999999999996,A,1,32.0,catchment_based,1583,15202,1714.3889999999997,15202.0,2537.431422688214,73.98751155659541,True,True,True
Derby Street,residential,two_lane,2,25,1125.0,non_fhsz,1.0,1125.0,6041.43,5.37016,F,8,3533.0,catchment_based,4760,2964,5155.08,2964.0,0.0,145.7705154057543,False,False,True
The Alameda,tertiary,two_lane,3,25,1125.0,non_fhsz,1.0,1125.0,1120.05,0.9955999999999999,F,2,655.0,catchment_based,3009,1137,3258.7469999999994,1137.0,0.0,9.117706456168065,False,False,True
The Circle,secondary,multilane,1,25,1900.0,non_fhsz,1.0,1900.0,4856.400000000001,2.5560000000000005,F,6,2840.0,catchment_based,1585,379,1716.5549999999998,379.0,0.0,12.864666676983104,False,False,True
Los Angeles Avenue,tertiary,two_lane,2,25,1125.0,non_fhsz,1.0,1125.0,699.39,0.62168,E,1,409.0,catchment_based,1203,226,1302.8489999999997,226.0,0.0,22.836088484354043,False,False,True
The Circle,secondary,multilane,1,25,1900.0,non_fhsz,1.0,1900.0,3982.5899999999997,2.0961,F,5,2329.0,catchment_based,1203,226,1302.8489999999997,226.0,0.0,14.726906868556226,False,False,True
Los Angeles Avenue,tertiary,two_lane,2,25,1125.0,non_fhsz,1.0,1125.0,699.39,0.62168,E,1,409.0,catchment_based,2188,406,2369.604,406.0,0.0,83.64746193691268,False,False,True
Los Angeles Avenue,tertiary,two_lane,2,25,1125.0,non_fhsz,1.0,1125.0,699.39,0.62168,E,1,409.0,catchment_based,3274,725,3545.7419999999993,725.0,0.0,150.81080242248925,False,False,True
Los Angeles Avenue,tertiary,two_lane,2,25,1125.0,non_fhsz,1.0,1125.0,699.39,0.62168,E,1,409.0,catchment_based,3274,725,3545.7419999999993,725.0,0.0,150.81080242248925,False,False,True
Spruce Street,tertiary,two_lane,2,25,1125.0,non_fhsz,1.0,1125.0,613.89,0.5456799999999999,D,1,359.0,catchment_based,2763,638,2992.3289999999997,638.0,0.0,243.95571632346608,False,False,True
McGee Avenue,residential,two_lane,2,25,1125.0,non_fhsz,1.0,1125.0,2795.85,2.4852,F,3,1635.0,catchment_based,4300,1394,4656.9,1394.0,0.0,100.51706850603725,False,False,True
McGee Avenue,residential,two_lane,2,25,1125.0,non_fhsz,1.0,1125.0,2795.85,2.4852,F,3,1635.0,catchment_based,4642,1819,5027.285999999999,1819.0,0.0,100.52513961338447,False,False,True
Martin Luther King Junior Way,tertiary,two_lane,4,25,1125.0,non_fhsz,1.0,1125.0,1326.9599999999998,1.17952,F,2,776.0,catchment_based,4904,2552,5311.032,2552.0,0.0,100.6529276374004,False,False,True
Martin Luther King Junior Way,tertiary,two_lane,4,25,1125.0,non_fhsz,1.0,1125.0,1326.9599999999998,1.17952,F,2,776.0,catchment_based,4433,2479,4800.938999999999,2479.0,0.0,101.01635515867683,False,False,True
Stuart Street,residential,two_lane,1,25,1125.0,non_fhsz,1.0,1125.0,1834.83,1.63096,F,2,1073.0,catchment_based,6604,3948,7152.131999999999,3948.0,0.0,58.577226161682646,True,False,True
Stuart Street,residential,two_lane,1,25,1125.0,non_fhsz,1.0,1125.0,1834.83,1.63096,F,2,1073.0,catchment_based,6182,6663,6695.105999999999,6663.0,0.0,241.84700122816326,True,False,True
Stuart Street,residential,two_lane,1,25,1125.0,non_fhsz,1.0,1125.0,1834.83,1.63096,F,2,1073.0,catchment_based,6604,3948,7152.131999999999,3948.0,0.0,58.577226161682646,True,False,True
